
**************** NEW TRAIN SESSION ****************
6427 (8736 0%) Loss: 3.18160486
6439 (8752 0%) Loss: 6.69414473
6450 (8768 0%) Loss: 2.98426580
6462 (8784 0%) Loss: 2.85784364
6474 (8800 0%) Loss: 3.11443043
6485 (8816 0%) Loss: 3.02533627
6497 (8832 0%) Loss: 2.99764299
6509 (8848 0%) Loss: 5.62142372
6520 (8864 0%) Loss: 8.12103367
6532 (8880 0%) Loss: 3.02658892
6544 (8896 0%) Loss: 6.49139214
6555 (8912 0%) Loss: 9.09180832
6567 (8928 0%) Loss: 2.64890289
6579 (8944 0%) Loss: 2.90215611
6590 (8960 0%) Loss: 4.42083645
6602 (8976 0%) Loss: 3.06711078
6614 (8992 0%) Loss: 2.81727123
6626 (9008 0%) Loss: 2.88098407
6637 (9024 0%) Loss: 2.79216647
6649 (9040 0%) Loss: 4.15809679
6661 (9056 0%) Loss: 3.00810242
6672 (9072 0%) Loss: 3.12848330
6684 (9088 0%) Loss: 5.09819841
6696 (9104 0%) Loss: 11.28309822
6707 (9120 0%) Loss: 7.85544157
6719 (9136 0%) Loss: 3.13642263
6731 (9152 0%) Loss: 2.98041368
6742 (9168 0%) Loss: 3.38246679
6754 (9184 0%) Loss: 4.75915337
6766 (9200 0%) Loss: 4.14945745
6777 (9216 0%) Loss: 5.53521490
6789 (9232 0%) Loss: 3.17599392
6801 (9248 0%) Loss: 3.06520939
6813 (9264 0%) Loss: 3.06067061
6824 (9280 0%) Loss: 9.89615250
6836 (9296 0%) Loss: 3.08377576
6848 (9312 0%) Loss: 3.17095065
6859 (9328 0%) Loss: 3.55421877
6871 (9344 0%) Loss: 2.87301064
6883 (9360 0%) Loss: 11.31607437
6894 (9376 0%) Loss: 3.91856980
6906 (9392 0%) Loss: 4.93172979
6918 (9408 0%) Loss: 5.75751209
6930 (9424 0%) Loss: 3.04587293
6941 (9440 0%) Loss: 7.00960732
6953 (9456 0%) Loss: 2.85220766
6965 (9472 0%) Loss: 3.45212197
6976 (9488 0%) Loss: 2.93349004
6988 (9504 0%) Loss: 10.57095242
7000 (9520 0%) Loss: 5.35632372
7011 (9536 0%) Loss: 2.95730090
7023 (9552 0%) Loss: 3.19291902
7035 (9568 0%) Loss: 2.96559596
7046 (9584 0%) Loss: 3.26759481
7058 (9600 0%) Loss: 12.77157593
7070 (9616 0%) Loss: 4.21762419
7081 (9632 0%) Loss: 15.42663765
7093 (9648 0%) Loss: 5.72270298
7105 (9664 0%) Loss: 3.17784667
7116 (9680 0%) Loss: 3.28115368
7128 (9696 0%) Loss: 3.40878582
7140 (9712 0%) Loss: 3.89683676
7151 (9728 0%) Loss: 3.05770063
7163 (9744 0%) Loss: 4.94513988
7175 (9760 0%) Loss: 3.34413147
7187 (9776 0%) Loss: 3.08419037
7198 (9792 0%) Loss: 4.85841894
7210 (9808 0%) Loss: 3.11991262
7222 (9824 0%) Loss: 5.28628635
7233 (9840 0%) Loss: 2.95384002
7245 (9856 0%) Loss: 2.71930456
7257 (9872 0%) Loss: 3.42357111
7268 (9888 0%) Loss: 2.96615362
7280 (9904 0%) Loss: 7.14944458
7292 (9920 0%) Loss: 3.47584653
7304 (9936 0%) Loss: 6.04816818
7315 (9952 0%) Loss: 3.10592437
7327 (9968 0%) Loss: 12.69426918
7339 (9984 0%) Loss: 8.73508072
7350 (10000 0%) Loss: 3.15021753
7362 (10016 0%) Loss: 6.00155783
7374 (10032 0%) Loss: 2.90826583
7385 (10048 0%) Loss: 2.82156849
7397 (10064 0%) Loss: 3.19373012
7409 (10080 0%) Loss: 5.31405306
7421 (10096 0%) Loss: 10.38059902
7432 (10112 0%) Loss: 5.73050022
7444 (10128 0%) Loss: 3.01851583
7456 (10144 0%) Loss: 3.18538904
7468 (10160 0%) Loss: 11.32557297
7479 (10176 0%) Loss: 2.96089196
7491 (10192 0%) Loss: 3.22425532
7503 (10208 0%) Loss: 3.94301581
7515 (10224 0%) Loss: 3.09161639
7526 (10240 0%) Loss: 8.77530575
7538 (10256 0%) Loss: 7.69776773
7550 (10272 0%) Loss: 3.11171532
7561 (10288 0%) Loss: 3.03822255
7573 (10304 0%) Loss: 3.03771687
7585 (10320 0%) Loss: 3.09946918
7597 (10336 0%) Loss: 3.08156013
7608 (10352 0%) Loss: 7.02472782
7620 (10368 0%) Loss: 10.96845245
7632 (10384 0%) Loss: 2.95746326
7643 (10400 0%) Loss: 15.49379826
7655 (10416 0%) Loss: 3.15422440
7667 (10432 0%) Loss: 3.02158713
7679 (10448 0%) Loss: 3.20842862
7690 (10464 0%) Loss: 12.43831730
7702 (10480 0%) Loss: 2.89502764
7714 (10496 0%) Loss: 4.75679779
7726 (10512 0%) Loss: 3.20416760
7737 (10528 0%) Loss: 3.07004690
7749 (10544 0%) Loss: 3.30514812
7761 (10560 0%) Loss: 3.20362663
7772 (10576 0%) Loss: 3.32829785
7784 (10592 0%) Loss: 2.88897991
7796 (10608 0%) Loss: 5.97899675
7807 (10624 0%) Loss: 3.27587891
7819 (10640 0%) Loss: 3.43375230
7831 (10656 0%) Loss: 2.99439216
7843 (10672 0%) Loss: 8.39135838
7854 (10688 0%) Loss: 6.68027258
